iter	MultiClass
347	0.9738102623
348	0.9733146415
349	0.9727553605
350	0.9723679853
351	0.9720726849
352	0.9716684863
353	0.9711966364
354	0.9708833734
355	0.9704016376
356	0.9699877732
357	0.9697029271
358	0.9691848126
359	0.9687890344
360	0.9681673637
361	0.9676676819
362	0.9674006975
363	0.9669863057
364	0.966647989
365	0.9663313856
366	0.9658738863
367	0.9655833873
368	0.9652501
369	0.9649198016
370	0.9643463652
371	0.9639315843
372	0.9635547597
373	0.9632004895
374	0.962765794
375	0.9620861799
376	0.9616977137
377	0.9611794448
378	0.9607061423
379	0.9603739164
380	0.9600704824
381	0.9596552581
382	0.9593131374
383	0.9590595136
384	0.9586577956
385	0.9582636211
386	0.9579350745
387	0.9577036198
388	0.9573947301
389	0.9571623446
390	0.9567455901
391	0.9564359271
392	0.9560811525
393	0.9556859932
394	0.9552825242
395	0.9549102623
396	0.9545177425
397	0.9542350691
398	0.9540235723
399	0.9536999766
400	0.9534152853
401	0.9529339981
402	0.9525389019
403	0.9522246966
404	0.9519284345
405	0.9514767302
406	0.9511736117
407	0.9507164256
408	0.950305028
409	0.9499812532
410	0.9494938135
411	0.9491938292
412	0.9488832327
413	0.9484418028
414	0.9481188461
415	0.947781462
416	0.9475036994
417	0.9471506422
418	0.9468560777
419	0.9463843517
420	0.9460892628
421	0.9457526704
422	0.9452004073
423	0.9448728435
424	0.9443812349
425	0.9437313775
426	0.943361377
427	0.9428964808
428	0.9425651116
429	0.9422443414
430	0.9418798539
431	0.9413054997
432	0.9410891162
433	0.9408499265
434	0.9404962676
435	0.9401827703
436	0.9398984409
437	0.9395627857
438	0.9392861811
439	0.9389450021
440	0.9387099355
441	0.938459579
442	0.9381846763
443	0.9378679415
444	0.9375173497
445	0.9372305121
446	0.9369139614
447	0.9365574666
448	0.9364121237
449	0.9360370984
450	0.9358118112
451	0.9353980739
452	0.9350024483
453	0.9346791904
454	0.9342402833
455	0.9338925574
456	0.9334848334
457	0.9330249168
458	0.9327955452
459	0.9324867592
460	0.9321746001
461	0.9318015177
462	0.9314641305
463	0.9312996442
464	0.9310633473
465	0.9307461351
466	0.9305465946
467	0.930151958
468	0.9298072501
469	0.9295724248
470	0.929142855
471	0.9288529192
472	0.9285499917
473	0.9282793907
474	0.927932755
475	0.9276595984
476	0.9272581401
477	0.9270030734
478	0.9266489775
479	0.9264393767
480	0.926136107
481	0.9256395499
482	0.9251147321
483	0.924803242
484	0.9245922807
485	0.924250916
486	0.9239389871
487	0.9237020879
488	0.9232369523
489	0.9230642856
490	0.9227745553
491	0.9224790569
492	0.9221908596
493	0.9217730418
494	0.9212692057
495	0.921066383
496	0.9207311119
497	0.9203753652
498	0.9200489829
499	0.9197574795
500	0.9194109382
501	0.9190529875
502	0.9188452167
503	0.9186535849
504	0.9183918901
505	0.9180407171
506	0.9177197999
507	0.9174872689
508	0.9172389889
509	0.9169802175
510	0.9166294227
511	0.916329395
512	0.9161853471
513	0.9158433355
514	0.9155825643
515	0.91532151
516	0.9150251856
517	0.9147938271
518	0.9143840628
519	0.9140317711
520	0.9137262569
521	0.9135176092
522	0.9133582777
523	0.9131139601
524	0.9129201348
525	0.912700027
526	0.9123188545
527	0.9119263548
528	0.9116876015
529	0.9114218756
530	0.9111894827
531	0.9108702315
532	0.9106141564
533	0.910319584
534	0.9099683843
535	0.9096654566
536	0.909456713
537	0.9092670925
538	0.9089795023
539	0.9087151574
540	0.9083696654
541	0.9080299176
542	0.907766716
543	0.9075791551
544	0.9073513167
545	0.9071070686
546	0.906881005
547	0.906724168
548	0.9065636524
549	0.90643163
550	0.906107821
551	0.9058594412
552	0.9057082177
553	0.9054414326
554	0.9051962138
555	0.9048873492
556	0.9046446077
557	0.9045032621
558	0.9041739385
559	0.9039740012
560	0.9036299957
561	0.9032394157
562	0.903032779
563	0.9026797803
564	0.9025073815
565	0.9023035697
566	0.9021107565
567	0.9018526375
568	0.9016448478
569	0.9014795551
570	0.9010335372
571	0.9008199127
572	0.9005272809
573	0.9002782587
574	0.9000796781
575	0.8999505121
576	0.8997561824
577	0.8994367086
578	0.8992494493
579	0.8990344033
580	0.8988756003
581	0.8986453903
582	0.8984300235
583	0.8982025542
584	0.8979508087
585	0.8978022302
586	0.8975896007
587	0.8973275839
588	0.8971839729
589	0.8969747337
590	0.8967044649
591	0.8964870385
592	0.8961943826
593	0.8959201691
594	0.8955315026
595	0.8953204753
596	0.8951682164
597	0.8948466962
598	0.8945952
599	0.8944568777
600	0.8942410827
601	0.8941001644
602	0.8939250718
603	0.8937678794
604	0.8934677535
605	0.8932617697
606	0.8930700836
607	0.8929046895
608	0.892680805
609	0.8924101908
610	0.8921838514
611	0.8919652006
612	0.8918810605
613	0.8916888166
614	0.8914742783
615	0.8913038189
616	0.8910598948
617	0.8908729206
618	0.8907583933
619	0.8904809981
620	0.8902681762
621	0.8900613305
622	0.8897732794
623	0.88953485
624	0.8891341339
625	0.8890084874
626	0.8887644657
627	0.888530769
628	0.8882401127
629	0.8880821933
630	0.8877785489
631	0.8875592886
632	0.8873212501
633	0.8870486939
634	0.8865755497
635	0.886330109
636	0.8861247084
637	0.8857550286
638	0.8854738516
639	0.8853709984
640	0.8851550194
641	0.8850145206
642	0.8848015738
643	0.8845405188
644	0.8843764949
645	0.8841434631
646	0.8839978247
647	0.8838331214
648	0.883688252
649	0.8835356017
650	0.8833561758
651	0.8831307756
652	0.8828803414
653	0.8826645482
654	0.882352588
655	0.882058613
656	0.8819180351
657	0.8817176281
658	0.8813815699
659	0.881248964
660	0.8811138764
661	0.8808264675
662	0.8806497813
663	0.8803338359
664	0.8802232914
665	0.8800686314
666	0.8799647297
667	0.8797898796
668	0.8796577927
669	0.8794914497
670	0.8791674595
671	0.8789826871
672	0.8787928974
673	0.8785360764
674	0.8784306257
675	0.8782081355
676	0.8779216774
677	0.8777175149
678	0.8775912673
679	0.8774168814
680	0.8770842814
681	0.8767428945
682	0.8763561132
683	0.8762262264
684	0.8761262309
685	0.8759881537
686	0.8758191927
687	0.8757058288
688	0.875487202
689	0.8753559747
690	0.8751914158
691	0.8748867472
692	0.8746751055
693	0.8744321831
694	0.8741167351
695	0.8738674808
696	0.8737120088
697	0.8735995635
698	0.8734193359
699	0.8732712354
700	0.8729952867
701	0.8727635858
702	0.872595231
703	0.8723701393
704	0.872197764
705	0.8719345584
706	0.8717456324
707	0.8716443296
708	0.871499268
709	0.871322149
710	0.8711716547
711	0.8708881007
712	0.8706813117
713	0.8705021391
714	0.8703253556
715	0.8701338659
716	0.8699646802
717	0.8698196319
718	0.869707257
719	0.8695888118
720	0.8693879949
721	0.8692605301
722	0.8691114603
723	0.8689371881
724	0.8687592345
725	0.8686098831
726	0.8684188575
727	0.8682766541
728	0.868067453
729	0.8678631418
730	0.8677210729
731	0.8676132608
732	0.8674350189
733	0.8672970127
734	0.8671027376
735	0.8669407369
736	0.8667639884
737	0.8665738293
738	0.8664158637
739	0.8663231315
740	0.8661121131
741	0.8659736939
742	0.865824628
743	0.8656528921
744	0.8655688036
745	0.8654440393
746	0.8652981719
747	0.8651266629
748	0.8649869681
749	0.8648631323
750	0.8646449959
751	0.8643722044
752	0.8641490092
753	0.8640263478
754	0.8639047257
755	0.86366486
756	0.8635350629
757	0.8632929674
758	0.8631668573
759	0.8630885502
760	0.8629845688
761	0.8628539343
762	0.8627466019
763	0.862534753
764	0.8622758513
765	0.8621367556
766	0.8619112906
767	0.8617811239
768	0.8614886954
769	0.861319853
770	0.8611214179
771	0.8609982051
772	0.8608624006
773	0.860554601
774	0.8604372412
775	0.8603055687
776	0.8600907409
777	0.8599191591
778	0.8596988368
779	0.8595459583
780	0.859415397
781	0.8591268838
782	0.8588841389
783	0.8586664169
784	0.8585117726
785	0.858242398
786	0.8581375505
787	0.8578626214
788	0.8577251672
789	0.8574318554
790	0.8573193549
791	0.8571238479
792	0.8569532864
793	0.8568252052
794	0.8566820996
795	0.8565771383
796	0.8563843598
797	0.8561154976
798	0.8559736712
799	0.8556524011
800	0.8554847393
801	0.8552003991
802	0.8550197316
803	0.854917951
804	0.8548039482
805	0.8545971505
806	0.8544384666
807	0.8541842694
808	0.8540408916
809	0.8539723368
810	0.8538219095
811	0.8536855541
812	0.8534236875
813	0.8533066842
814	0.8531269607
815	0.8530030931
816	0.8528816401
817	0.8527899485
818	0.852594131
819	0.8524219092
820	0.8523488162
821	0.8521814276
822	0.8519400102
823	0.8518151764
824	0.8517197992
825	0.8515258542
826	0.8513872825
827	0.8512690699
828	0.8512179957
829	0.8511191036
830	0.8509310278
831	0.8507890048
832	0.8506309441
833	0.8503999501
834	0.85034499
835	0.8502615638
836	0.8500401779
837	0.8497967424
838	0.8496142923
839	0.8494304475
840	0.8492390131
841	0.8490305353
842	0.8489003367
843	0.848621838
844	0.848453546
845	0.8482674979
846	0.84816434
847	0.8480184771
848	0.8478656283
849	0.8477186925
850	0.8475598204
851	0.8474221624
852	0.847317221
853	0.847051579
854	0.8469150701
855	0.8467679202
856	0.846673019
857	0.8465226345
858	0.8464240164
859	0.846174941
860	0.8459652768
861	0.8458591521
862	0.845700611
863	0.8456085768
864	0.8454609676
865	0.8452620944
866	0.8451321643
867	0.8449746766
868	0.8448450177
869	0.8446991753
870	0.8445494716
871	0.8444351607
872	0.8442723073
873	0.8440768977
874	0.8438166646
875	0.8436071549
876	0.8434520652
877	0.8433017593
878	0.8431647717
879	0.8430836488
880	0.8429103941
881	0.8426891658
882	0.8425487161
883	0.8423841748
884	0.8422611797
885	0.8420779098
886	0.8419340039
887	0.8418119001
888	0.84169553
889	0.8415254855
890	0.8414525552
891	0.8413208611
892	0.8412192924
893	0.8411225623
894	0.8409432228
895	0.8408589641
896	0.8407142317
897	0.8405829677
898	0.8404780872
899	0.8404171989
900	0.8402877296
901	0.8400464074
902	0.8398723181
903	0.8397209726
904	0.8395688176
905	0.8393967573
906	0.8392865906
907	0.8391589305
908	0.8388685113
909	0.8387241567
910	0.8385447486
911	0.8384115731
912	0.8383315718
913	0.8381446599
914	0.838026829
915	0.8378079897
916	0.8377432737
917	0.8375788035
918	0.8374728721
919	0.8372072634
920	0.8370851435
921	0.8368825142
922	0.83670577
923	0.836611868
924	0.8365014414
925	0.8363744401
926	0.8362539226
927	0.8361376503
928	0.8360596727
929	0.8358671859
930	0.835737121
931	0.8356336867
932	0.8355044735
933	0.8354182857
934	0.8353283942
935	0.8352028469
936	0.8350246559
937	0.834899926
938	0.8347742027
939	0.8346676981
940	0.8345496044
941	0.8343624342
942	0.8342750078
943	0.8340974104
944	0.8338470125
945	0.8335860933
946	0.8333621451
947	0.8331352968
948	0.8330214966
949	0.8328898012
950	0.832825574
951	0.8326586945
952	0.8325266957
953	0.8324297263
954	0.8322880381
955	0.8320986105
956	0.8319332077
957	0.831810297
958	0.8316527274
959	0.8315832942
960	0.8314764624
961	0.8313824859
962	0.831299928
963	0.8312135259
964	0.8310777765
965	0.8309999996
966	0.8309206528
967	0.8308095572
968	0.830633946
969	0.8304847739
970	0.8302712949
971	0.8301097173
972	0.8299251825
973	0.8297432933
974	0.829648201
975	0.8295694286
976	0.8294536015
977	0.8293868369
978	0.8291502678
979	0.8290281598
980	0.8289391205
981	0.8287855761
982	0.8286474587
983	0.8285719037
984	0.8284754667
985	0.8284128952
986	0.8283181528
987	0.828240524
988	0.8281127607
989	0.8278127104
990	0.8276050252
991	0.8275113018
992	0.8273829352
993	0.82719218
994	0.8269669826
995	0.8267716293
996	0.8266721866
997	0.8265689425
998	0.8264464622
999	0.8262309475
