iter	Passed	Remaining
398	148791	224118
399	149142	223713
400	149514	223339
401	149874	222947
402	150266	222602
403	150628	222214
404	150979	221809
405	151322	221392
406	151647	220950
407	151966	220500
408	152363	220162
409	152724	219774
410	153055	219342
411	153390	218916
412	153724	218489
413	154071	218082
414	154430	217690
415	154789	217300
416	155096	216838
417	155430	216412
418	155746	215963
419	156121	215596
420	156547	215299
421	156915	214922
422	157264	214518
423	157576	214065
424	157880	213603
425	158260	213242
426	158653	212900
427	159017	212519
428	159373	212127
429	159712	211712
430	160104	211367
431	160537	211076
432	160943	210749
433	161302	210362
434	161632	209936
435	162095	209682
436	162526	209388
437	162956	209090
438	163371	208773
439	163774	208440
440	164118	208031
441	164446	207603
442	164753	207150
443	165079	206721
444	165593	206526
445	166035	206241
446	166398	205857
447	166748	205457
448	167129	205096
449	167679	204942
450	168028	204540
451	168356	204113
452	168705	203712
453	169058	203316
454	169480	203004
455	169883	202668
456	170252	202291
457	170597	201886
458	170935	201472
459	171338	201136
460	171705	200757
461	172047	200349
462	172422	199980
463	172740	199544
464	173121	199183
465	173524	198846
466	173889	198464
467	174221	198046
468	174547	197621
469	174898	197226
470	175213	196789
471	175586	196419
472	176008	196102
473	176434	195789
474	176859	195476
475	177334	195217
476	177821	194969
477	178322	194736
478	178757	194430
479	179131	194059
480	179472	193651
481	179798	193227
482	180190	192875
483	180613	192555
484	180999	192195
485	181375	191825
486	181731	191433
487	182150	191108
488	182527	190739
489	183011	190481
490	183558	190287
491	184068	190054
492	184698	189943
493	185217	189716
494	186059	189818
495	186706	189717
496	187246	189506
497	187736	189243
498	188204	188958
499	188623	188623
500	189187	188432
501	189753	188241
502	190181	187913
503	190646	187620
504	191125	187341
505	191652	187107
506	192104	186799
507	192495	186433
508	192969	186145
509	193524	185935
510	194033	185679
511	194606	185484
512	195092	185204
513	195515	184864
514	195988	184571
515	196557	184367
516	197202	184233
517	197674	183936
518	198205	183693
519	198746	183458
520	199227	183166
521	199586	182762
522	199961	182374
523	200410	182051
524	200783	181661
525	201137	181253
526	201471	180827
527	201814	180410
528	202235	180062
529	202628	179689
530	203023	179318
531	203458	178982
532	203848	178606
533	204206	178202
534	204565	177799
535	204945	177415
536	205341	177044
537	205696	176638
538	206020	176206
539	206360	175788
540	206660	175336
541	206980	174902
542	207506	174641
543	207963	174322
544	208290	173894
545	208704	173538
546	209188	173240
547	209639	172914
548	210168	172652
549	210592	172303
550	210989	171931
551	211429	171595
552	211865	171254
553	212241	170865
554	212575	170443
555	212939	170044
556	213353	169686
557	213735	169302
558	214182	168970
559	214623	168632
560	215101	168323
561	215465	167925
562	215803	167506
563	216212	167142
564	216584	166751
565	216946	166351
566	217267	165920
567	217599	165498
568	217913	165062
569	218274	164663
570	218665	164286
571	219045	163901
572	219386	163487
573	219701	163053
574	220051	162646
575	220498	162311
576	220902	161943
577	221230	161521
578	221548	161091
579	221857	160655
580	222226	160263
581	222615	159885
582	223002	159506
583	223343	159094
584	223667	158669
585	223988	158244
586	224383	157871
587	224760	157485
588	225225	157160
589	225560	156745
590	225877	156318
591	226281	155951
592	226653	155561
593	227030	155175
594	227445	154815
595	227841	154443
596	228191	154038
597	228525	153624
598	228872	153218
599	229285	152856
600	229664	152472
601	230034	152082
602	230359	151662
603	230684	151243
604	231082	150872
605	231512	150521
606	231941	150169
607	232353	149806
608	232720	149414
609	233090	149025
610	233553	148694
611	233918	148301
612	234247	147885
613	234557	147457
614	234863	147028
615	235244	146646
616	235612	146255
617	235985	145868
618	236352	145476
619	236690	145068
620	237039	144666
621	237437	144294
622	237817	143912
623	238234	143551
624	238603	143162
625	238999	142788
626	239374	142402
627	239731	142006
628	240093	141612
629	240446	141214
630	240777	140803
631	241140	140410
632	241547	140043
633	241933	139665
634	242392	139328
635	242774	138946
636	243143	138557
637	243539	138183
638	243910	137796
639	244238	137384
640	244620	137002
641	244988	136613
642	245378	136236
643	245781	135866
644	246122	135462
645	246466	135060
646	246785	134644
647	247190	134276
648	247586	133902
649	247950	133511
650	248306	133116
651	248659	132720
652	249005	132319
653	249383	131936
654	249759	131552
655	250121	131161
656	250487	130772
657	250800	130355
658	251240	130004
659	251629	129627
660	251985	129233
661	252367	128852
662	252686	128439
663	253032	128040
664	253502	127704
665	253976	127369
666	254369	126994
667	254697	126586
668	255061	126196
669	255515	125850
670	255896	125469
671	256229	125064
672	256553	124655
673	256866	124241
674	257236	123854
675	257598	123464
676	257977	123082
677	258342	122693
678	258649	122277
679	258984	121874
680	259416	121518
681	259788	121132
682	260147	120742
683	260466	120332
684	260779	119920
685	261155	119537
686	261546	119161
687	262030	118827
688	262475	118476
689	262847	118090
690	263293	117739
691	263659	117351
692	263985	116945
693	264318	116543
694	264675	116152
695	265049	115768
696	265422	115384
697	265800	115002
698	266150	114608
699	266453	114194
700	266784	113792
701	267127	113396
702	267496	113010
703	267858	112622
704	268189	112220
705	268563	111837
706	268947	111459
707	269411	111113
708	269815	110742
709	270226	110374
710	270666	110017
711	271077	109649
712	271465	109271
713	271891	108908
714	272268	108526
715	272599	108126
716	272941	107730
717	273420	107388
718	273835	107020
719	274210	106637
720	274583	106253
721	274902	105849
722	275315	105480
723	275759	105123
724	276143	104744
725	276473	104344
726	276802	103943
727	277226	103579
728	277602	103196
729	277951	102804
730	278286	102406
731	278586	101996
732	278911	101595
733	279306	101220
734	279675	100835
735	280055	100454
736	280402	100062
737	280721	99660
738	281056	99263
739	281448	98887
740	281827	98506
741	282205	98125
742	282566	97738
743	282923	97350
744	283409	97005
745	283928	96672
746	284435	96334
747	284817	95954
748	285295	95606
749	285686	95228
750	286047	94841
751	286425	94459
752	286749	94060
753	287152	93686
754	287614	93331
755	288100	92984
756	288507	92611
757	288908	92237
758	289373	91882
759	289803	91516
760	290200	91140
761	290555	90750
762	290909	90361
763	291371	90004
764	291812	89641
765	292211	89265
766	292603	88887
767	292937	88491
768	293296	88103
769	293641	87711
770	293979	87316
771	294464	86966
772	294920	86606
773	295276	86217
774	295606	85821
775	295941	85426
776	296385	85063
777	296917	84724
778	297360	84360
779	297748	83980
780	298150	83604
781	298571	83233
782	299032	82873
783	299417	82492
784	299736	82093
785	300140	81717
786	300622	81363
787	301102	81007
788	301416	80606
789	301846	80237
790	302417	79905
791	302970	79567
792	303380	79192
793	303706	78795
794	304077	78409
795	304468	78029
796	304869	77651
797	305324	77287
798	305686	76899
799	306038	76509
800	306400	76121
801	306782	75739
802	307210	75367
803	307664	75002
804	308177	74651
805	308681	74298
806	309106	73925
807	309594	73566
808	309957	73178
809	310377	72804
810	310791	72428
811	311259	72065
812	311682	71690
813	312081	71311
814	312431	70919
815	312759	70524
816	313132	70138
817	313520	69756
818	313931	69379
819	314307	68994
820	314637	68599
821	314989	68209
822	315446	67842
823	315841	67461
824	316212	67075
825	316587	66690
826	316959	66304
827	317339	65920
828	317727	65538
829	318091	65151
830	318402	64753
831	318740	64361
832	319196	63992
833	319593	63612
834	319949	63223
835	320299	62833
836	320686	62451
837	321141	62082
838	321581	61710
839	322014	61336
840	322364	60946
841	322718	60557
842	323117	60177
843	323535	59800
844	323948	59422
845	324369	59046
846	324799	58670
847	325232	58296
848	325667	57922
849	326082	57543
850	326579	57180
851	326991	56801
852	327336	56410
853	327722	56027
854	328156	55652
855	328594	55277
856	329068	54908
857	329452	54524
858	329809	54136
859	330233	53758
860	330661	53382
861	331079	53003
862	331429	52613
863	331760	52221
864	332187	51844
865	332614	51466
866	333021	51086
867	333367	50696
868	333717	50307
869	334163	49932
870	334632	49560
871	335035	49179
872	335391	48791
873	335744	48402
874	336158	48022
875	336538	47637
876	336944	47256
877	337307	46869
878	337624	46476
879	337932	46081
880	338312	45697
881	338711	45315
882	339158	44939
883	339622	44565
884	340034	44185
885	340436	43803
886	340864	43424
887	341213	43035
888	341542	42644
889	341875	42254
890	342270	41871
891	342645	41486
892	343072	41107
893	343465	40724
894	343866	40341
895	344240	39956
896	344586	39567
897	344991	39186
898	345392	38803
899	345785	38420
900	346178	38037
901	346516	37648
902	346835	37256
903	347257	36876
904	347670	36495
905	348097	36116
906	348528	35736
907	349000	35361
908	349335	34971
909	349739	34589
910	350135	34206
911	350545	33824
912	350941	33441
913	351320	33056
914	351663	32668
915	352013	32280
916	352407	31897
917	352802	31513
918	353167	31127
919	353556	30744
920	353932	30359
921	354248	29968
922	354571	29579
923	354884	29189
924	355249	28803
925	355612	28418
926	355993	28033
927	356368	27649
928	356699	27261
929	357069	26876
930	357483	26494
931	357883	26111
932	358248	25726
933	358585	25339
934	358932	24952
935	359360	24571
936	359772	24189
937	360196	23808
938	360592	23425
939	361000	23042
940	361358	22656
941	361677	22268
942	362001	21881
943	362395	21498
944	362778	21114
945	363137	20728
946	363469	20342
947	363793	19954
948	364201	19572
949	364639	19191
950	365011	18807
951	365379	18422
952	365782	18039
953	366185	17656
954	366640	17276
955	367025	16892
956	367364	16506
957	367680	16119
958	368039	15734
959	368541	15355
960	369027	14976
961	369451	14593
962	369910	14212
963	370336	13829
964	370738	13446
965	371141	13062
966	371574	12680
967	372003	12297
968	372429	11914
969	372754	11528
970	373163	11144
971	373591	10761
972	374060	10379
973	374485	9996
974	374904	9612
975	375388	9230
976	375799	8846
977	376182	8462
978	376541	8076
979	376899	7691
980	377376	7309
981	377816	6925
982	378282	6542
983	378732	6158
984	379143	5773
985	379504	5388
986	379874	5003
987	380313	4619
988	380770	4235
989	381179	3850
990	381546	3465
991	381877	3079
992	382304	2694
993	382762	2310
994	383218	1925
995	383657	1540
996	384091	1155
997	384576	770
998	385117	385
999	385451	0
